date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,city
2019-12-09,5.766833,8.4,29.655787,235.20451,reutlingen
2019-12-10,1.4543334,2.5,17.477621,257.0835,reutlingen
2019-12-11,2.2397501,4.7,15.7908325,212.90936,reutlingen
2019-12-12,1.7543331,0.6,19.022177,204.58443,reutlingen
2019-12-13,3.2647502,10.2,31.367548,214.35313,reutlingen
2019-12-14,6.0210004,5.4999995,40.377815,231.52989,reutlingen
2019-12-15,9.654333,3.5,29.30409,220.6155,reutlingen
2019-12-16,8.225167,0.3,12.7279215,190.56583,reutlingen
2019-12-17,8.741834,0.0,12.879752,206.66628,reutlingen
2019-12-18,10.0564165,4.2,15.408671,193.55379,reutlingen
2019-12-19,6.771,0.0,10.495713,200.65636,reutlingen
2019-12-20,7.2001653,2.8999999,19.453327,209.70892,reutlingen
2019-12-21,4.5105834,1.7,14.799459,196.18045,reutlingen
2019-12-22,6.3043327,5.2000003,25.264202,219.43552,reutlingen
2019-12-23,5.1126666,5.1999993,23.051247,247.75276,reutlingen
2019-12-24,5.9585,3.7999997,26.6327,232.61212,reutlingen
2019-12-25,5.6293335,7.899999,23.73271,253.63582,reutlingen
2019-12-26,3.3814163,0.2,12.88981,205.73068,reutlingen
2019-12-27,5.3230834,2.3,15.408671,277.20236,reutlingen
2019-12-28,1.2043334,0.0,9.178235,67.82293,reutlingen
2019-12-29,-0.9623332,0.0,10.440001,155.04233,reutlingen
2019-12-30,1.8272499,0.0,10.1887,212.00533,reutlingen
2019-12-31,3.1939173,0.0,15.281989,208.97688,reutlingen
2020-01-01,0.12308336,0.0,10.464798,175.75745,reutlingen
2020-01-02,0.99183327,0.0,10.948973,212.14064,reutlingen
2020-01-03,5.945999,0.4,22.406927,226.2311,reutlingen
2020-01-04,4.6793337,2.1000001,19.164717,259.5231,reutlingen
2020-01-05,2.8085003,0.2,14.77755,203.07314,reutlingen
2020-01-06,1.7126669,0.0,15.379206,211.4455,reutlingen
2020-01-07,3.3585002,0.5,19.826164,225.74695,reutlingen
2020-01-08,5.4585,0.0,13.755579,216.69528,reutlingen
2020-01-09,9.875167,0.0,15.990646,210.3061,reutlingen
2020-01-10,8.143916,0.9,24.312662,238.22066,reutlingen
2020-01-11,3.3251665,0.0,9.178235,206.56494,reutlingen
2020-01-12,1.3064165,0.0,14.336861,225.14508,reutlingen
2020-01-13,3.9314163,0.0,9.793058,210.20499,reutlingen
2020-01-14,7.879335,0.0,20.140705,207.93704,reutlingen
2020-01-15,8.198084,0.0,16.575644,216.32689,reutlingen
2020-01-16,7.966833,0.0,17.057314,198.76497,reutlingen
