# Sensor Zaisentalstraße, Reutlingen, Germany (Citizen Science project sensor.community/4244)
# https://aqicn.org/station/@54451/
# Daily pm25
date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.5,1.95,0.82,0.68,0.99,0.259,316
2019-12-10T00:00:00.000Z,1.11,16.7,2.63,2.06,4.36,3.166,402
2019-12-11T00:00:00.000Z,1.1,11.12,5.27,4.07,5.95,1.76,434
2019-12-12T00:00:00.000Z,0.5,17.73,2.31,1.32,3.26,1.752,492
2019-12-13T00:00:00.000Z,0.45,6.89,1.18,0.86,1.63,0.724,565
2019-12-14T00:00:00.000Z,0.45,7.74,1.02,0.83,1.33,0.945,400
2019-12-15T00:00:00.000Z,0.44,5.92,1.05,0.56,2.16,1.064,578
2019-12-16T00:00:00.000Z,0.82,13.53,4.51,3.61,5.07,1.841,291
2019-12-17T00:00:00.000Z,2,15.27,6.18,4.75,7.36,2.028,223
2019-12-18T00:00:00.000Z,1.58,15.5,4.59,3.75,6.39,2.475,450
2019-12-19T00:00:00.000Z,2.61,20.21,4.16,3.7,5.84,2.498,505
2019-12-20T00:00:00.000Z,0.61,12.04,4.48,1.78,5.55,2.268,554
2019-12-21T00:00:00.000Z,0.65,10.02,2.57,1.68,3.78,1.662,551
2019-12-22T00:00:00.000Z,0.45,10.22,1.23,0.87,1.86,0.89,564
2019-12-23T00:00:00.000Z,0.53,2.12,0.78,0.7,0.89,0.222,317
2019-12-25T00:00:00.000Z,1.56,6.8,2.5,2.16,2.82,0.705,144
2019-12-26T00:00:00.000Z,1.88,23.95,4.55,3.74,5.98,2.24,550
2019-12-30T00:00:00.000Z,7.46,9.27,8.36,8.18,8.6,0.383,32
2019-12-31T00:00:00.000Z,3.89,419.05,7.84,5.4,16.82,50.062,580
2020-01-01T00:00:00.000Z,14.16,331.7,31.45,22.81,48.58,35.079,588
2020-01-02T00:00:00.000Z,9.66,25.01,16.45,14.3,19.32,3.323,575
2020-01-03T00:00:00.000Z,1.15,13.74,6.72,2.75,9.15,3.529,559
2020-01-04T00:00:00.000Z,0.8,45.66,2.44,1.79,3.2,3.016,563
2020-01-05T00:00:00.000Z,1.12,17.76,4.01,2.12,6.66,3.191,566
2020-01-06T00:00:00.000Z,5.12,20.19,7.72,6.64,9.93,2.65,533
2020-01-07T00:00:00.000Z,1.12,9.85,3.8,2.97,4.8,1.707,522
2020-01-08T00:00:00.000Z,3.12,8.66,5.34,4.71,6.12,1.033,508
2020-01-09T00:00:00.000Z,0.75,23.83,4.43,3.06,5.24,2.216,537
2020-01-10T00:00:00.000Z,0.5,6.1,1.2,0.84,1.92,0.826,426
2020-01-11T00:00:00.000Z,1.74,20.92,4.76,3.2,7.86,3.225,533
2020-01-12T00:00:00.000Z,5.39,28.28,8.36,7.35,9.36,2.418,570
